time_sec,amplitude
5.684,-0.0030013374
5.688,-0.0037036622
5.692,0.0029726203
5.696,-0.004940708
5.7,-0.0016316095
5.704,-0.00895779
5.708,-0.0053112204
5.712,0.016543638
5.716,0.005986155
5.72,0.0063596712
5.724,0.007045051
5.728,0.004732842
5.732,0.010742744
5.736,0.017992849
5.74,0.018024566
5.744,0.0009797786
5.748,-0.0083809495
5.752,-0.010944068
5.756,-0.017529668
5.76,-0.008196757
5.764,-0.012782878
5.768,-0.019958608
5.772,-0.035890482
5.776,-0.029211614
5.78,0.030406786
5.784,0.002193731
5.788,0.006772029
5.792,0.0038990804
5.796,0.001249748
5.8,0.015985385
5.804,-0.09419273
5.808,-0.02217161
5.812,-0.021513224
5.816,0.013543066
5.82,-0.021423953
5.824,0.011485509
5.828,0.00010273745
5.832,-0.025663469
5.836,-0.007969478
5.84,-0.048637085
5.844,0.03372264
5.848,-0.039538033
5.852,-0.008628262
5.856,-0.0014122683
5.86,-0.033417664
5.864,-0.07040037
5.868,-0.00501299
5.872,0.039693534
5.876,0.023290228
5.88,-0.010095392
5.884,-0.0008151075
5.888,-0.008762341
5.892,-0.021598227
5.896,-0.028809147
5.9,-0.018240344
5.904,-0.037592348
5.908,-0.049801126
5.912,-0.012588335
5.916,0.01043113
5.92,0.020635957
5.924,-0.006136765
5.928,-0.011584248
5.932,-0.040614933
5.936,0.0047486937
5.94,-0.009299206
5.944,0.022882894
5.948,-0.035119474
5.952,0.023241892
5.956,0.005421484
5.96,-0.0023222568
5.964,-0.033345968
5.968,-0.029979352
5.972,0.020103518
5.976,-0.010895925
5.98,-0.021809451
5.984,-0.011606831
5.988,0.04113163
5.992,-0.0010318384
5.996,-0.0018150923
6.0,0.022900496
6.004,-0.033018135
6.008,-0.010895377
6.012,0.019975172
6.016,0.01969447
6.02,-0.02297365
6.024,-0.014307814
6.028,0.020569947
6.032,-0.011293745
6.036,0.033659138
6.04,0.02826887
6.044,0.0002299156
6.048,-0.029030925
6.052,-0.0058085993
6.056,0.020249963
6.06,0.0013086544
6.064,-0.0006236958
6.068,-0.03789489
6.072,-0.073470734
6.076,-0.0011481331
6.08,0.013400336
6.084,-0.017431986
6.088,-0.008477664
6.092,-0.027831785
6.096,-0.030340865
6.1,0.018445209
6.104,-0.04155215
6.108,0.01202202
6.112,-0.024937566
6.116,0.037193976
6.12,0.0563007
6.124,0.03883397
6.128,0.007070817
6.132,0.03213937
6.136,-0.00704872
6.14,-0.055012427
6.144,-0.08372091
6.148,-0.04357674
6.152,0.039486717
6.156,-0.025514375
6.16,0.006665866
6.164,-0.0009820918
6.168,-0.0066686007
6.172,-0.015208604
6.176,0.03607867
6.18,0.038373776
6.184,0.014183637
6.188,-0.044010576
6.192,0.03730627
6.196,0.077966295
6.2,0.038215812
6.204,-0.07115446
6.208,0.081023306
6.212,0.026424421
6.216,0.094184935
6.22,-0.005916931
6.224,0.0652744
6.228,-0.034683883
6.232,0.06913169
6.236,0.016310044
6.24,-0.04315817
6.244,-0.0047376007
6.248,0.11424507
6.252,-0.038296755
6.256,-0.027344331
6.26,-0.027421873
6.264,0.028217144
6.268,0.12091833
6.272,-0.04206463
6.276,0.051163897
6.28,-0.05816246
6.284,-0.096107714
6.288,-0.02799064
6.292,0.07709241
6.296,0.15899658
6.3,-0.046228677
6.304,0.021458548
6.308,-0.1279912
6.312,0.013054584
6.316,-0.04371103
6.32,0.047614202
6.324,0.1030038
6.328,-0.010784708
6.332,0.14800252
6.336,-0.13129687
6.34,-0.14464006
6.344,0.06820798
6.348,0.15069997
6.352,0.1308763
6.356,-0.11253616
6.36,0.16871804
6.364,-0.1402032
6.368,-0.02888906
6.372,0.027052902
6.376,-0.03366427
6.38,0.11987224
6.384,-0.20719936
6.388,0.16017225
6.392,-0.23110211
6.396,-0.17932531
6.4,0.114857405
6.404,0.010521328
6.408,0.26463833
6.412,-0.08520948
6.416,0.25418523
6.42,0.010957164
6.424,0.102172196
6.428,-0.09964562
6.432,-0.089512385
